Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Customer_Key__c
Jun,1,Tuesday,Pontiac,Urban,Wednesday,Jun,2,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11018,11,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,CUST-INS-008804
Mar,4,Tuesday,Pontiac,Urban,Thursday,Mar,4,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10459,4,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,CUST-INS-008805
Sep,3,Friday,Mazda,Urban,Friday,Sep,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2777,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008806
Jun,4,Sunday,Honda,Urban,Wednesday,Jul,3,Female,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4536,2,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-INS-008807
Oct,2,Sunday,Pontiac,Rural,Thursday,Oct,2,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7190,6,400,1,none,more than 30,1,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1995,All Perils,CUST-INS-008808
May,5,Tuesday,Toyota,Urban,Tuesday,May,5,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9998,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,CUST-INS-008809
May,5,Sunday,Pontiac,Rural,Thursday,Jun,1,Male,Married,38,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5574,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008810
Jul,3,Thursday,Mazda,Rural,Tuesday,Jul,4,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6136,16,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-INS-008811
Jul,2,Friday,Honda,Urban,Tuesday,Jul,2,Male,Married,55,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4428,2,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008812
Sep,4,Thursday,Pontiac,Urban,Tuesday,Sep,3,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5248,1,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-008813
Aug,4,Monday,Toyota,Urban,Monday,Aug,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14095,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-INS-008814
Jun,5,Thursday,Honda,Urban,Thursday,Jul,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3982,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-INS-008815
Oct,2,Friday,Toyota,Rural,Tuesday,Oct,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7826,15,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-INS-008816
Sep,4,Thursday,Honda,Urban,Monday,Apr,1,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,2670,12,400,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-INS-008817
May,1,Friday,Mazda,Urban,Wednesday,May,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3978,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,3 to 4,1994,Liability,CUST-INS-008818
Dec,3,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,280,12,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008819
Apr,5,Saturday,Mazda,Urban,Monday,May,1,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11434,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,CUST-INS-008820
Jan,2,Tuesday,Saturn,Urban,Friday,Jan,3,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8719,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-INS-008821
Aug,1,Friday,Pontiac,Urban,Thursday,Aug,2,Male,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,0,7453,6,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,none,no change,1 vehicle,1995,Liability,CUST-INS-008822
Jun,2,Tuesday,Mazda,Urban,Wednesday,Jun,3,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5198,3,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-008823
Dec,4,Friday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,72,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13765,3,700,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-INS-008824
May,3,Tuesday,Pontiac,Urban,Wednesday,May,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14378,10,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-INS-008825
Mar,3,Thursday,Toyota,Urban,Thursday,Mar,3,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,4156,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-INS-008826
Feb,1,Thursday,Saturn,Urban,Tuesday,Feb,2,Male,Married,69,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,10408,7,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-INS-008827
Jun,1,Friday,Honda,Rural,Monday,Jun,1,Male,Single,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,4884,10,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-INS-008828
Aug,3,Friday,Ford,Urban,Thursday,Oct,1,Male,Married,43,Third Party,Utility - All Perils,Utility,30000 to 39000,0,5808,11,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-008829
Aug,3,Wednesday,Mazda,Urban,Monday,Aug,4,Male,Married,53,Third Party,Sedan - Liability,Sport,60000 to 69000,0,3810,4,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008830
Jan,1,Tuesday,Toyota,Urban,Friday,Jan,2,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8714,12,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-INS-008831
Oct,4,Thursday,Toyota,Urban,Wednesday,Nov,1,Male,Married,36,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9495,4,400,4,more than 30,more than 30,1,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-INS-008832
Oct,4,Wednesday,Pontiac,Urban,Wednesday,Oct,4,Male,Single,25,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4684,1,400,3,more than 30,more than 30,more than 4,6 years,26 to 30,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,CUST-INS-008833
Dec,4,Wednesday,Mazda,Urban,Thursday,Dec,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10481,7,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-INS-008834
May,3,Friday,Mazda,Urban,Wednesday,May,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12984,14,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-INS-008835
Oct,1,Tuesday,Chevrolet,Urban,Thursday,Oct,1,Male,Married,37,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,11031,4,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-INS-008836
Feb,1,Sunday,Pontiac,Urban,Monday,Feb,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5594,6,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008837
Mar,5,Wednesday,Pontiac,Urban,Tuesday,Jun,2,Male,Single,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,11122,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-008838
Mar,5,Wednesday,Pontiac,Urban,Thursday,Apr,2,Male,Married,35,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,6898,13,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-008839
Sep,2,Saturday,Mazda,Urban,Monday,Sep,2,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4564,6,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-INS-008840
Jul,1,Tuesday,Toyota,Urban,Friday,Jul,2,Male,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8377,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-INS-008841
Sep,3,Sunday,Ford,Urban,Monday,Dec,1,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9544,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-INS-008842
Nov,2,Monday,Ford,Urban,Thursday,Jan,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12440,12,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,CUST-INS-008843
Dec,2,Wednesday,Pontiac,Urban,Friday,Dec,3,Female,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1270,5,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-INS-008844
Sep,4,Saturday,Pontiac,Urban,Sunday,Sep,4,Male,Single,39,Policy Holder,Sedan - Liability,Sport,less than 20000,0,2351,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008845
Jan,2,Wednesday,Toyota,Urban,Friday,Jan,2,Female,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8746,7,400,4,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008846
Aug,2,Tuesday,Honda,Urban,Wednesday,Aug,2,Male,Married,33,Policy Holder,Sport - Collision,Sport,more than 69000,0,1385,3,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008847
Dec,2,Saturday,Pontiac,Urban,Monday,Dec,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9643,4,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-INS-008848
Feb,5,Tuesday,Chevrolet,Urban,Wednesday,Mar,1,Male,Married,39,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9037,6,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008849
Aug,4,Monday,Mazda,Urban,Wednesday,Aug,4,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,5857,7,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-008850
Dec,5,Wednesday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,298,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-008851
Dec,4,Monday,Toyota,Urban,Monday,Jan,1,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8636,14,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-INS-008852
Jun,4,Wednesday,Mazda,Urban,Thursday,Jun,5,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13581,13,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-INS-008853
Aug,4,Thursday,Honda,Urban,Thursday,Aug,5,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11934,4,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-INS-008854
Sep,2,Friday,Toyota,Urban,Wednesday,Oct,4,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14059,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-INS-008855
Oct,4,Thursday,Chevrolet,Urban,Wednesday,Nov,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2078,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008856
Oct,4,Saturday,VW,Rural,Tuesday,Oct,4,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,9641,12,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008857
May,3,Sunday,Mazda,Urban,Tuesday,Jun,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12306,16,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,CUST-INS-008858
Feb,5,Tuesday,Toyota,Urban,Wednesday,Mar,1,Female,Single,37,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2230,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-INS-008859
Feb,3,Wednesday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2843,9,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008860
Nov,4,Thursday,Chevrolet,Urban,Monday,Nov,4,Male,Married,48,Third Party,Sedan - Collision,Sedan,more than 69000,0,2538,11,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-008861
Dec,3,Thursday,Honda,Urban,Monday,Jan,1,Male,Married,39,Policy Holder,Sport - Collision,Sport,more than 69000,1,195,13,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008862
Jun,1,Monday,Mazda,Urban,Monday,Jun,2,Male,Married,41,Third Party,Sport - Collision,Sport,more than 69000,0,12792,9,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-INS-008863
Mar,2,Thursday,Toyota,Urban,Wednesday,Mar,4,Female,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7363,3,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-INS-008864
Apr,5,Thursday,Pontiac,Urban,Monday,May,1,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6637,14,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Liability,CUST-INS-008865
Oct,4,Wednesday,Mazda,Urban,Thursday,Nov,2,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,7499,7,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-INS-008866
Jul,2,Sunday,Pontiac,Urban,Wednesday,Aug,2,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,11171,12,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-008867
Dec,3,Saturday,Toyota,Urban,Monday,Jan,3,Female,Single,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4043,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-INS-008868
Nov,3,Friday,Chevrolet,Urban,Monday,Nov,4,Male,Married,63,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6554,12,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-INS-008869
Jun,1,Tuesday,Mazda,Urban,Monday,Jun,2,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13525,9,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,CUST-INS-008870
Aug,1,Friday,Mazda,Urban,Friday,Aug,3,Female,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,5506,4,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008871
Oct,1,Sunday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,6855,5,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008872
Sep,1,Wednesday,Ford,Rural,Thursday,Sep,2,Male,Married,77,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6762,15,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-008873
Mar,1,Sunday,Honda,Urban,Wednesday,Mar,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5301,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008874
Sep,3,Tuesday,Pontiac,Urban,Friday,Oct,4,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11903,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1996,All Perils,CUST-INS-008875
Mar,3,Wednesday,Ford,Urban,Thursday,Mar,3,Male,Married,49,Third Party,Sedan - Collision,Sedan,more than 69000,0,321,2,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-008876
Mar,3,Friday,Toyota,Urban,Wednesday,Mar,4,Male,Married,44,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7136,2,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008877
Jul,4,Thursday,Pontiac,Urban,Friday,Aug,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1372,9,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-INS-008878
Sep,1,Thursday,Ford,Urban,Tuesday,Sep,4,Male,Married,66,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,15140,5,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-INS-008879
Dec,4,Thursday,Accura,Urban,Wednesday,Jan,1,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2655,8,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008880
May,4,Tuesday,Honda,Urban,Tuesday,May,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9100,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-INS-008881
Mar,4,Saturday,Mazda,Urban,Wednesday,Apr,1,Female,Single,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10770,3,400,2,8 to 15,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-INS-008882
Apr,3,Thursday,Pontiac,Urban,Wednesday,Apr,4,Female,Single,62,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3399,11,400,1,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008883
Sep,3,Thursday,Pontiac,Urban,Wednesday,Sep,4,Male,Single,38,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8533,3,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-008884
Oct,3,Friday,Pontiac,Urban,Monday,Oct,4,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10169,15,400,4,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,3 to 4,1995,All Perils,CUST-INS-008885
Jun,2,Monday,Chevrolet,Urban,Friday,Jun,3,Male,Married,52,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13450,3,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,CUST-INS-008886
Oct,3,Sunday,Honda,Urban,Tuesday,Oct,3,Male,Married,46,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10871,14,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008887
May,2,Monday,Chevrolet,Urban,Friday,May,3,Female,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12955,5,500,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1996,Liability,CUST-INS-008888
Mar,3,Friday,Chevrolet,Urban,Friday,Mar,3,Female,Married,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,927,4,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008889
Feb,3,Saturday,Pontiac,Urban,Monday,Mar,4,Male,Single,31,Third Party,Sedan - Collision,Sedan,less than 20000,0,245,9,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-INS-008890
Jul,5,Saturday,Chevrolet,Urban,Wednesday,Aug,1,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7470,8,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-INS-008891
Jun,3,Tuesday,Accura,Rural,Tuesday,Oct,1,Male,Married,68,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8208,8,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-008892
Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,144,8,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-008893
Aug,5,Monday,Toyota,Urban,Thursday,Sep,1,Male,Single,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,5984,9,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-008894
Sep,3,Monday,Pontiac,Urban,Tuesday,Sep,3,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8152,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-INS-008895
May,1,Wednesday,Honda,Urban,Tuesday,May,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2364,14,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008896
Jun,4,Monday,Toyota,Urban,Monday,Jul,1,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11288,5,400,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-INS-008897
Nov,4,Monday,Honda,Urban,Tuesday,Nov,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,130,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-INS-008898
Feb,4,Saturday,Chevrolet,Urban,Tuesday,Feb,5,Male,Married,53,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,1162,10,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-008899
Mar,2,Thursday,Honda,Urban,Monday,Jul,3,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,10692,13,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-008900
Oct,3,Thursday,Mazda,Urban,Friday,Oct,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,15107,6,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,1 year,1 vehicle,1996,Collision,CUST-INS-008901
